ID,Date,Date - Clean,ConvoID,Content,Sender,Participants,Group,ParticipantsClean,
85,2022-03-27 15:13:20 ( CDT ),44647.63426,6,"This is Bret Taylor . Let me know when you have a minute to speak today . Just got off with
Parag and I know he is eager to speak with you today as well . Flexible all day",Bret Taylor,"Bret Taylor, Self",No,Bret Taylor,
86,2022-03-27 15:14:18 ( CDT ),44647.63493,6,"Later tonight would work - maybe 7pm ? I have a minor case of Covid , so am a little under the
weather .",Self,"Bret Taylor, Self",No,Bret Taylor,
88,2022-03-27 15:15:18 ( CDT ),44647.63563,6,Sorry to hear it can knock you out . 7pm sounds great,Bret Taylor,"Bret Taylor, Self",No,Bret Taylor,
89,2022-03-27 15:15:24 ( CDT ),44647.63569,6,"Liked "" Sorry to hear - it can knock you out . 7pm sounds great """,Self,"Bret Taylor, Self",No,Bret Taylor,
167,2022-04-03 13:05:44 ( CDT ),44654.54565,6,"Just spoke to Martha . Let me know when you have time to talk today or tomorrow . Sounds
like you are about to get on a flight - flexible",Bret Taylor,"Bret Taylor, Self",No,Bret Taylor,
170,2022-04-03 14:51:06 ( CDT ),44654.61882,6,"Sounds good . I'm just about to take off from Berlin to Austin , but free to talk anytime
tomorrow .",Self,"Bret Taylor, Self",No,Bret Taylor,
171,2022-04-03 14:51:51 ( CDT ),44654.61934,6,"I am free all day . Text when you are available . Planning to take a hike with my wife and that is
the only part where my reception may be spotty . Looking forward to speaking . And looking
forward to working with you !",Bret Taylor,"Bret Taylor, Self",No,Bret Taylor,
172,2022-04-03 14:55:02 ( CDT ),44654.62155,6,"Liked "" I am free all day . Text when you are available . Planning to take a hike with my wife and
that is the only part where my reception may be spotty . Looking forward to speaking . And
looking forward to working with you ! """,Self,"Bret Taylor, Self",No,Bret Taylor,
178,2022-04-04 08:49:32 ( CDT ),44655.36773,6,Hey are you available ?,Bret Taylor,"Bret Taylor, Self",No,Bret Taylor,
182,2022-04-04 09:10:04 ( CDT ),44655.38199,6,"Given the SEC filing , would like to speak asap to coordinate on communications . Call asap
when you are back",Bret Taylor,"Bret Taylor, Self",No,Bret Taylor,
204,2022-04-04 14:13:24 ( CDT ),44655.59264,6,Do you have five minutes ?,Bret Taylor,"Bret Taylor, Self",No,Bret Taylor,
205,2022-04-04 14:14:33 ( CDT ),44655.59344,6,Sure,Self,"Bret Taylor, Self",No,Bret Taylor,
217,2022-04-04 20:19:40 ( CDT ),44655.84699,6,bJKIQ,Bret Taylor,"Bret Taylor, Self",No,Bret Taylor,
219,2022-04-04 21:25:15 ( CDT ),44655.89253,6,"Laughed at
"" https://twitter.com/trungtphan/status/1510994320471429131?s=10&t=qrv_fOhTfUzRVDe_l
bJKIQ """,Self,"Bret Taylor, Self",No,Bret Taylor,
232,2022-04-05 07:56:40 ( CDT ),44656.33102,6,I am excited to work with you and grateful this worked out,Bret Taylor,"Bret Taylor, Self",No,Bret Taylor,
236,2022-04-05 13:54:35 ( CDT ),44656.57957,6,Likewise,Self,"Bret Taylor, Self",No,Bret Taylor,
332,2022-04-09 10:10:33 ( CDT ),44660.42399,6,Parag just called me and mentioned your text conversation . Can you talk ?,Bret Taylor,"Bret Taylor, Self",No,Bret Taylor,
337,2022-04-09 10:25:29 ( CDT ),44660.43436,6,Please expect a take private offer,Self,"Bret Taylor, Self",No,Bret Taylor,
338,2022-04-09 10:26:05 ( CDT ),44660.43478,6,"I saw the text thread . Do you have five minutes so I can understand the context ? I don't
currently",Bret Taylor,"Bret Taylor, Self",No,Bret Taylor,
339,2022-04-09 10:26:44 ( CDT ),44660.43523,6,Fixing twitter by chatting with Parag won't work,Self,"Bret Taylor, Self",No,Bret Taylor,
340,2022-04-09 10:26:59 ( CDT ),44660.43541,6,Drastic action is needed,Self,"Bret Taylor, Self",No,Bret Taylor,
341,2022-04-09 10:28:07 ( CDT ),44660.43619,6,"This is hard to do as a public company , as purging fake users will make the numbers look
terrible , so restructuring should be done as a private company .",Self,"Bret Taylor, Self",No,Bret Taylor,
342,2022-04-09 10:28:14 ( CDT ),44660.43627,6,This is Jack's opinion too .,Self,"Bret Taylor, Self",No,Bret Taylor,
343,2022-04-09 10:30:43 ( CDT ),44660.438,6,"Can you take 10 minutes to talk this through with me ? It has been about 24 hours since you
joined the board . I get your point , but just want to understand about the sudden pivot and
make sure I deeply understand your point of view and the path forward",Bret Taylor,"Bret Taylor, Self",No,Bret Taylor,
345,2022-04-09 12:11:27 ( CDT ),44660.50795,6,"I'm about to take off , but can talk tomorrow",Self,"Bret Taylor, Self",No,Bret Taylor,
346,2022-04-09 12:18:21 ( CDT ),44660.51274,6,Thank you,Bret Taylor,"Bret Taylor, Self",No,Bret Taylor,
347,2022-04-09 22:20:24 ( CDT ),44660.93083,6,"Hey can you speak this evening ? I have seen your tweets and feel more urgency about
understanding your path forward",Bret Taylor,"Bret Taylor, Self",No,Bret Taylor,
348,2022-04-10 14:01:07 ( CDT ),44661.58411,6,"Acknowledging your text with Parag yesterday that you are declining to join the board . This
will be reflected in our 8 - K tomorrow . I've asked our team to share a draft with your family
office today . I'm looking forward to speaking today .",Bret Taylor,"Bret Taylor, Self",No,Bret Taylor,
349,2022-04-10 15:44:22 ( CDT ),44661.65581,6,Sounds good,Self,"Bret Taylor, Self",No,Bret Taylor,
350,2022-04-10 15:45:35 ( CDT ),44661.65666,6,"It is better , in my opinion , to take Twitter private , restructure and return to the public
markets once that is done . That was also Jack's view when I talked to him .",Self,"Bret Taylor, Self",No,Bret Taylor,
359,2022-04-13 19:47:57 ( CDT ),44664.82497,6,"After several days of deliberation - this is obviously a matter of serious gravity - I have
decided to move forward with taking Twitter private . I will send you an offer letter tonight ,
which will be public in the morning . Happy to connect you with my team if you have any
questions . Thanks , Elon",Self,"Bret Taylor, Self",No,Bret Taylor,
360,2022-04-13 21:05:26 ( CDT ),44664.87877,6,Acknowledged,Bret Taylor,"Bret Taylor, Self",No,Bret Taylor,
361,2022-04-13 21:18:50 ( CDT ),44664.88808,6,"Confirming I received your email . Also , please use btaylor@gmail.com going forward , my
personal email .",Bret Taylor,"Bret Taylor, Self",No,Bret Taylor,
362,2022-04-13 21:41:38 ( CDT ),44664.90391,6,Will do,Self,"Bret Taylor, Self",No,Bret Taylor,
380,2022-04-14 13:15:42 ( CDT ),44665.55257,6,"Elon , as you saw from our press release , the board is in receipt of your letter and is evaluating
your proposal to determine the course of action that it believes is in the best interest of
Twitter and all of its stockholders . We will be back in touch with you when we have
completed that work . Bret",Bret Taylor,"Bret Taylor, Self",No,Bret Taylor,
381,2022-04-14 13:24:03 ( CDT ),44665.55837,6,Sounds good,Self,"Bret Taylor, Self",No,Bret Taylor,
418,2022-04-17 14:46:03 ( CDT ),44668.61531,6,"Elon , I am just checking in to reiterate that the board is seriously reviewing the proposal in
your letter . We are working on a formal response as quickly as we can consistent with our
fiduciary duties . Feel free to reach out anytime .",Bret Taylor,"Bret Taylor, Self",No,Bret Taylor,
