ID,Date,Date - Clean,Content,ConvoID,Sender,Participants,Participant Count,Participants,Incomplete,ConvoEnd
97,2022-03-29 08:12:21 ( CDT ),44649.34190972222,"Hey - I saw your poll on twitter about Twitter and free speech . I'm not sure if this is what's
your mind , but my collaborator Sam Bankman - Fried ( https://www.forbes.com/profile/sam
bankman - fried / ? sh - 5b254fbf4449 ) has for a while been potentially interested in purchasing
it and then making it better for the world . If you want to talk with him about a possible joint
effort in that direction , his number is and he's on Signal .",66,Will MacAskill,"Will MacAskill, Self",1,"Will MacAskill, Self",,
99,2022-03-29 21:24:32 ( CDT ),44649.89203703704,Does he have huge amounts of money ?,66,Self,"Will MacAskill, Self",1,"Will MacAskill, Self",,
106,2022-03-30 17:33:40 ( CDT ),44650.73171296297,"Depends on how you define " huge " ! He's worth $ 24B , and his early employees ( with shared
values ) bump that to $ 30B . I asked about how much he could in principle contribute and he
said : " ~ $ 1-3b would be easy ~ $ 3-8b I could do ~ $ 8-15b is maybe possible but would require
financing "",66,Will MacAskill,"Will MacAskill, Self",1,"Will MacAskill, Self",,
107,2022-03-30 17:34:40 ( CDT ),44650.732407407406,If you were interested to discuss the idea I asked and he said he'd be down to meet you in
Austin,66,Will MacAskill,"Will MacAskill, Self",1,"Will MacAskill, Self",,
108,2022-03-30 17:36:07 ( CDT ),44650.73341435185,"He's based in the Bahamas normally . And I might visit Austin next week , if you'd be around ?",66,Will MacAskill,"Will MacAskill, Self",1,"Will MacAskill, Self",,
112,2022-03-31 01:20:28 ( CDT ),44651.05587962963,That's a start,66,Self,"Will MacAskill, Self",1,"Will MacAskill, Self",,
123,2022-03-31 16:46:35 ( CDT ),44651.699016203704,Would you like me to intro you two via text ?,66,Will MacAskill,"Will MacAskill, Self",1,"Will MacAskill, Self",,
126,2022-03-31 19:15:45 ( CDT ),44651.80260416667,Would you like me to intro you two via text ?,66,Will MacAskill,"Will MacAskill, Self",1,"Will MacAskill, Self",,
140,2022-03-31 21:24:52 ( CDT ),44651.89226851852,You vouch for him ?,66,Self,"Will MacAskill, Self",1,"Will MacAskill, Self",,
141,2022-03-31 21:25:58 ( CDT ),44651.89303240741,Very much so ! Very dedicated to making the long - term future of humanity go well,66,Will MacAskill,"Will MacAskill, Self",1,"Will MacAskill, Self",,
142,2022-03-31 21:26:26 ( CDT ),44651.89335648148,Ok then sure,66,Self,"Will MacAskill, Self",1,"Will MacAskill, Self",,
143,2022-03-31 21:27:15 ( CDT ),44651.89392361111,Great ! Will use Signal,66,Will MacAskill,"Will MacAskill, Self",1,"Will MacAskill, Self",,
145,2022-03-31 21:32:40 ( CDT ),44651.897685185184,( Signal doesn't work ; used imessage instead ),66,Will MacAskill,"Will MacAskill, Self",1,"Will MacAskill, Self",,
146,2022-04-01 00:33:23 ( CDT ),44652.02318287037,Ok,66,Self,"Will MacAskill, Self",1,"Will MacAskill, Self",,
151,2022-04-01 11:44:09 ( CDT ),44652.48899305556,"And in case you want to get a feel for Sam , here's the Apr 1st tweet from his foundation , the
Future Fund , which I'm advising on - I thought you might like it :",66,Will MacAskill,"Will MacAskill, Self",1,"Will MacAskill, Self",,
152,2022-04-01 11:44:11 ( CDT ),44652.489016203705,https://twitter.com/ftxfuturefund/status/1509924452422717440?s=20&t=0qjM58KUj49xSGa
Oqae970,66,Will MacAskill,"Will MacAskill, Self",1,"Will MacAskill, Self",,
153,2022-04-01 11:44:31 ( CDT ),44652.48924768518,And here's the actual ( more informative ) launch tweet - moving $ 100M- $ 1B this year to
improve the future of humanity :,66,Will MacAskill,"Will MacAskill, Self",1,"Will MacAskill, Self",,
154,2022-04-01 11:44:32 ( CDT ),44652.48925925926,https://twitter.com/ftxfuturefund/status/1498350483206860801,66,Will MacAskill,"Will MacAskill, Self",1,"Will MacAskill, Self",,
