ConvoID,Date,Group,Message
69,"Friday, June 17, 22 at 1:54PM",Redacted,"If I understood them correctly , Ned and Parag said that cash expenditures over the next 12 months
will be $ 78 and that cash receipts will also be $ 7B . However , the cash receipts number doesn't
seem realistic , given that they expect only $ 1.28 in Q2 , which is just $ 4.8B annualized ."
34,"Thursday, May 12, 22 at 10:51PM",Jason Calacanis,You should raise your offer
68,"Tuesday, May 10, 22 at 10:23AM",Peter,Hi Elon This is Peter and my numbers . Look forward to being helpful Bob
49,"Tuesday, May 10, 22 at 9:57AM",Michael Kives,Have any time to see Philippe Laffont in Vancouver tomorrow ?
48,"Monday, May 9, 22 at 5:52AM",Michael Grimes,"Do you have 5 minutes to connect on possible meeting tomorrow I believe you will want to
take ?"
9,"Thursday, May 5, 22 at 9:57PM",David Sacks,OC LUW
37,"Thursday, May 5, 22 at 5:40PM",John Elkann,"Sorry , I have to be at Twitter HQ tomorrow aftemoon for due diligence ."
24,"Thursday, May 5, 22 at 11:34AM",James Murdoch,Thank you . I will link you up . Also will call when some of the dust settles . Hope all's ok .
54,"Thursday, May 5, 22 at 10:45AM",Sam BF,"Sorry , who is sending this message ?"
58,"Sunday, May 1, 22 at 3:17PM",Sean Parker,"Am at my Mom's apartment , doing Twitter diligence calls"
60,"Friday, April 29, 22 at 8:37PM",Steve Jurvetson,https://www.linkedin.com/in/emilmichael/
53,"Thursday, April 28, 22 at 5:05PM",Reid Hoffman,Great . I will put you in touch with Satya .
32,"Thursday, April 28, 22 at 5:05PM","Jared Birchall, Reid Hoffman","Very nice to connect , Reid . What is the best email to reach you at ?"
29,"Thursday, April 28, 22 at 5:05PM","Jared Birchall, Sam BF",Hey !
26,"Thursday, April 28, 22 at 4:08PM","Jared Birchall,
Reid Hoffman",Connecting Reid Hoffman and Jared Birchall . Jared runs my family office .
33,"Thursday, April 28, 22 at 2:22PM","Jared Birchall, Sam BF",Elon - connecting you with SBF .
6,"Thursday, April 28, 22 at 12:12PM",Bret Taylor,"This is Bret Taylor . Let me know when you have a minute to speak today . Just got off with
Parag and I know he is eager to speak with you today as well . Flexible all day"
7,"Wednesday, April 27, 22 at 11:23PM",Brian Acton,"Trying to figure out what to do with Twitter DMs . They should be end to end encrypted ( obv ) .
Dunno if better to have redundancy with Signal or integrate it ."
57,"Wednesday, April 27, 22 at 10:02PM",Satya,"Hi Elon .. Let me know when you have time to chat . Can do tomorrow evening or weekend .
Look forward to it . Thx Satya"
64,"Wednesday, April 27, 22 at 9:40PM",Viv Hantusch,"From a social perspective - Twitter allowing for high quality video uploads ( 1080p at a
minimum ) & adding a basic in - app video editor would have quite a big impact I think .
Especially useful for citizen journalism & fun educational content . Might even help Twitter
regain market share lost to TikTok"
56,"Wednesday, April 27, 22 at 9:36PM","Satya,
Reid Hoffman","Elon , Satya : as indicated , this connects the two of you by text and phone ."
61,"Wednesday, April 27, 22 at 8:44PM",Tim Urban,Absolutely
43,"Wednesday, April 27, 22 at 8:21PM","Larry Ellison, 
Martha Twitter NomGov",Sure .
67,"Wednesday, April 27, 22 at 6:57PM",Maddie,"Hi Elon , This is Maddie , Larry Ellison's assistant . Larry asked that I connect the head of his
family office , Paul Marinelli , with the head of yours . Would you please share their contact
details ? Alternatively , please provide them with Paul's : Cell : XXX-XXX-XXXX Email :"
20,"Tuesday, April 26, 22 at 9:57PM",jack jack,"Yes , a new platform is needed . It can't be a company . This is why I left ."
23,"Tuesday, April 26, 22 at 8:30PM","James Murdoch,
Kathryn Murdoch",Will you bring back Jack ?
3,"Tuesday, April 26, 22 at 8:24PM",Antonio Gracias,Wow ... I saw your tweet re free speech . Wtf is going on Elon ...
52,"Tuesday, April 26, 22 at 1:59PM",Parag,Would love to talk . Please let me know what time works - I'm super flexible . -Parag
50,"Tuesday, April 26, 22 at 1:40PM",Mike Pop,Want to be a strategic advisor to Twitter if this works out ?
25,"Monday, April 25, 22 at 9:42PM",James Musk,Congrats ! Super important to solve the bot problem .
1,"Monday, April 25, 22 at 3:03PM",Adeo Ressi,Would love you to buy Twitter and fix it .
